Product,Brand,Category,Style,Quantity,Quantity Units,Volume,Package,ABV,Units of Alcohol,Units (4 Decimal Places),Units per 100ml
13 Guns,Crafty Dan,Beer,IPA,330,ml,330,bottle,5.5,1.8,1.815,0.55
13 Guns,Crafty Dan,Beer,IPA,330,ml,330,can,5.5,1.8,1.815,0.55
13 Guns,Crafty Dan,Beer,IPA,1,pint,568,draught,5.5,3.1,3.124,0.55
Abbot Ale,Greene King,Beer,Ale,500,ml,500,bottle,5,2.5,2.5,0.5
Abbot Ale,Greene King,Beer,Beer,1,pint,568,draught,5,2.8,2.84,0.5
Addlestones Cloudy,Addlestones,Cider,,500,ml,500,bottle,5,2.5,2.5,0.5
Addlestones Cloudy,Stone,Cider,,1,pint,568,draught,5.2,3,2.9536,0.52
Adnams Broadside,Adnams,Beer,,1,pint,568,draught,4.7,2.7,2.6696,0.47
Adnams Crystal Rye IPA,Adnams,Beer,Rye Beer,330,ml,330,can,5,1.7,1.65,0.5
Adnams Dry Hopped Lager,Adnams,Beer,Lager,330,ml,330,bottle,4.2,1.4,1.386,0.42
Adnams FreeWheel,Adnams,Beer,Summer Ale,1,pint,568,draught,3.6,2,2.0448,0.36
Adnams Ghost Ship,Adnams,Beer,Pale Ale,1,pint,568,draught,4.5,2.6,2.556,0.45
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,330,bottle,4.1,1.4,1.353,0.41
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,330,can,4.1,1.4,1.353,0.41
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,1,pint,568,draught,4.1,2.3,2.3288,0.41
Adnams Sloe Storm,Adnams,Beer,Amber Ale,1,pint,568,draught,4,2.3,2.272,0.4
Adnams Southwold Bitter,Adnams,Beer,Amber Ale,1,pint,568,draught,3.7,2.1,2.1016,0.37
Ale Fresco,Greene King,Beer,Ale,1,pint,568,draught,4.3,2.4,2.4424,0.43
Alhambra Especial,Alhambra,Beer,Lager,1,pint,568,draught,4.8,2.7,2.7264,0.48
Alhambra Reserva,Alhambra,Beer,Lager,330,ml,330,bottle,6.4,2.1,2.112,0.64
Amarillo Single Hop Session IPA,Greene King,Beer,IPA,1,pint,568,draught,3.8,2.2,2.1584,0.38
Amigos,Amigos,Beer,Lager,330,ml,330,bottle,5.1,1.7,1.683,0.51
Amstel,Amstel,Beer,Lager,330,ml,330,bottle,4.1,1.4,1.353,0.41
Amstel Lager,Amstel,Beer,Lager,1,pint,568,draught,4.1,2.3,2.3288,0.41
Anchor California Lager,Anchor,Beer,Lager,355,ml,355,bottle,4.9,1.7,1.7395,0.49
Anchor Liberty Ale,Anchor,Beer,IPA,355,ml,355,bottle,5.9,2.1,2.0945,0.59
Anchor Porter,Anchor,Beer,Porter,335,ml,335,bottle,5.6,1.9,1.876,0.56
Anchor Steam Beer,Anchor,Beer,Steam Beer,355,ml,355,bottle,4.8,1.7,1.704,0.48
Anchor Steam Beer,Anchor,Beer,Steam Beer,1,pint,568,draught,4.8,2.7,2.7264,0.48
Angry Orchard Cider,Angry Orchard,Cider,,500,ml,500,bottle,5,2.5,2.5,0.5
Angry Orchard Hard Cider,Angry Orchard,Cider,,1,pint,568,draught,5,2.8,2.84,0.5
Ansells Drum Mild,Ansells,Beer,Bitter,1,pint,568,draught,3.2,1.8,1.8176,0.32
Asahi Super Dry,Asahi,Beer,Lager,330,ml,330,bottle,5.2,1.7,1.716,0.52
Asahi Super Dry,Asahi,Beer,Lager,1,pint,568,draught,5.2,3,2.9536,0.52
Ashton Press Cider,Ashton Press,Cider,,500,ml,500,bottle,4.8,2.4,2.4,0.48
Aspall Cyder,Aspall,Cider,,1,pint,568,draught,4.5,2.6,2.556,0.45
Aspall Cyderkyn,Aspall,Cider,,1,pint,568,draught,3.8,2.2,2.1584,0.38
Aspall Draught Cyder,Aspall,Cider,,330,ml,330,bottle,5.5,1.8,1.815,0.55
Aspall Draught Cyder,Aspall,Cider,,1,pint,568,draught,5.5,3.1,3.124,0.55
Aspall Harry Sparrow,Aspall,Cider,,500,ml,500,bottle,4.6,2.3,2.3,0.46
Aspall Harry Sparrow,Aspall,Cider,,1,pint,568,draught,4.6,2.6,2.6128,0.46
Aspall Isabel's Berry,Aspall,Cider,Fruit Cider,500,ml,500,bottle,3.8,1.9,1.9,0.38
Aspall Mulled Cyder,Aspall,Cider,Mulled Cider,1,pint,568,draught,3.8,2.2,2.1584,0.38
Aspall Peronelle's Blush,Aspall,Cider,Fruit Cider,500,ml,500,bottle,4,2,2,0.4
Aspall Premier Cru Cyder,Aspall,Cider,,500,ml,500,bottle,7,3.5,3.5,0.7
Babycham Popping Cork,Babycham,Cider,Perry,75,cl,750,bottle,5.5,4.1,4.125,0.55
